period,strategy,num_assets,total_return,sharpe_ratio,max_drawdown,win_rate,crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
2021,Individual Asset,,,,,,LINK-USD,2021-01-02,2021-12-30,363 days,100.0,91.30410423851012,-8.69589576148988,63.42159846826969,40.56170411452973,4.6935726108551,35.89175903841197,239 days 00:00:00,86.0,85.0,1.0,-0.019970342636108397,45.88235294117647,30.961833959197865,-37.40153888205316,9.155865956827405,-6.745994049278284,3 days 00:36:55.384615384,1 days 06:46:57.391304347,0.9089236466042412,-0.10206971081004479,-0.14816967377937085,-0.2435558882718559,0.9690869166108191,-0.18906181299845515
2021,Individual Asset,,,,,,BNB-USD,2021-01-02,2021-12-30,363 days,100.0,248.94318961290253,148.94318961290253,1256.9250032220036,100.0,43.72689340557327,44.01903693324356,244 days 00:00:00,91.0,91.0,0.0,0.0,43.956043956043956,96.50491797104745,-17.285096507548534,9.77111217732162,-3.9114633786940853,2 days 06:36:00,1 days 02:49:24.705882352,1.2744017600136759,1.6367383473945312,1.3465157718070733,3.4120987494880803,1.4519255662555939,2.8747168442719837
2021,Individual Asset,,,,,,XLM-USD,2021-01-02,2021-12-30,363 days,100.0,100.03489624135196,0.034896241351961954,109.92411272981468,0.7266570336672262,0.060305683091282876,0.42778385925581924,233 days 00:00:00,83.0,82.0,1.0,-0.00026832500100135804,39.02439024390244,131.15219994816056,-20.662332211119352,10.32243284627346,-4.3216093272411475,3 days 00:45:00,1 days 10:04:48,1.0424365099350177,0.0004288361750361385,0.09252706082613002,0.08202399439135152,1.0212160098987915,0.13216785914806492
2022,Equal Weight Portfolio,10.0,-0.18248238059036292,-0.7129335781566297,-0.26249529235565194,0.3278236914600551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Individual Asset,,,,,,BTC-USD,2022-01-02,2022-12-30,363 days,100.0,66.17070950848859,-33.829290491511415,-64.9329195727921,100.0,14.40537153480478,46.23094192624513,276 days 00:00:00,84.0,83.0,1.0,-0.22477877847427408,32.53012048192771,17.036360875135575,-9.89748724052531,3.574628942685792,-2.3453324903271335,3 days 19:33:20,1 days 13:17:08.571428571,0.7177073379770531,-0.40487363509683294,-0.805516713253695,-0.7349983263493968,0.8506538041948383,-1.124472872386877
2022,Individual Asset,,,,,,ETH-USD,2022-01-02,2022-12-30,363 days,100.0,65.37074091128157,-34.62925908871843,-68.68488179637534,100.0,14.61394619992694,49.96111911715412,271 days 00:00:00,87.0,86.0,1.0,-0.19428316762009956,36.04651162790697,38.32044003040394,-12.8575797742971,5.873213579348597,-3.727071668487976,3 days 04:38:42.580645161,1 days 13:57:49.090909090,0.810017921592338,-0.4004066967569575,-0.4196699008243183,-0.6961850914153567,0.9189878309154981,-0.5969077226755
2022,Individual Asset,,,,,,BNB-USD,2022-01-02,2022-12-30,363 days,100.0,62.21170347109338,-37.78829652890662,-53.748445253453205,100.0,12.395017208985315,56.377246182449134,362 days 00:00:00,90.0,90.0,0.0,0.0,30.0,15.280170603397867,-15.643366184026949,4.9793666049102185,-2.7203657816223874,3 days 18:40:00,1 days 06:28:34.285714285,0.6863780275258842,-0.41986996143229594,-0.8071805521975269,-0.6731575543974191,0.8505949179964859,-1.1097538140095535
2022,Individual Asset,,,,,,SOL-USD,2022-01-02,2022-12-30,363 days,100.0,52.438609264936005,-47.561390735063995,-94.3984480717295,100.0,9.85491772244276,60.19886165684544,273 days 00:00:00,91.0,90.0,1.0,-0.009880176544189453,34.44444444444444,29.677162238298592,-24.971154261263035,5.439778631445086,-4.2158906164105865,3 days 04:38:42.580645161,1 days 09:21:21.355932203,0.6817966253108261,-0.5283501173168872,-0.9153297395642555,-0.7931638989021454,0.834702493049859,-1.248035638852062
2022,Individual Asset,,,,,,ADA-USD,2022-01-02,2022-12-30,363 days,100.0,99.68347812817991,-0.3165218718200926,-82.17480758067754,1.5906605806196392,0.11439462377130981,0.5871458481956922,281 days 00:00:00,89.0,88.0,1.0,-0.0002455569952726364,34.090909090909086,19.53477458300961,-18.650505598427934,4.914037473141746,-3.350257778487484,3 days 08:00:00,1 days 09:55:51.724137931,0.7676053053817815,-0.0035940490321002324,-0.6061800694391555,-0.5420510370400985,0.8700681542573465,-0.9066108116180027
2022,Individual Asset,,,,,,XRP-USD,2022-01-02,2022-12-30,363 days,100.0,99.75769598793984,-0.24230401206016516,-59.84055831128467,0.8769003241725933,0.09605212497711184,0.3987048691671954,308 days 00:00:00,95.0,94.0,1.0,-0.0003450169861316681,25.53191489361702,43.02641698885932,-19.698570936035704,5.729278835285151,-2.600806922894403,3 days 06:00:00,1 days 12:00:00,0.7437888398437629,-0.0025740318624897203,-0.7955214326213369,-0.6110720275163465,0.8384547069205479,-1.2180244273178662
