crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
XRP-USD,2023-01-02,2023-12-30,363 days,100.0,100.10368477834442,0.10368477834441708,78.40575758454125,0.6239976443043,0.0,0.09235301453217704,173 days,87,87,0,0.0,37.93103448275862,52.653223016358965,-10.055141689040669,4.982138012179156,-2.21985259787679,2 days 17:27:16.363636363,1 days 02:40:00,1.4502811510832059,0.001191779061430081,0.4310052858303893,1.1288894310196833,1.2787312365231196,1.1472648613350709
XRP-USD,2024-01-02,2024-12-30,364 days,100.0,101.1451507341102,1.1451507341102072,229.02025858166078,2.073545974378623,0.0,0.14353682728476816,312 days,94,94,0,0.0,32.97872340425532,71.47652948726261,-8.803125064749489,8.569491123542322,-1.79860626730367,2 days 19:21:17.419354838,1 days 05:20:00,4.066042206754732,0.012182454618193693,1.8900996935361978,8.000140234236616,2.3441698960617425,5.3278378138146465
XRP-USD,2025-01-02,2025-02-23,53 days,100.0,99.99586053847973,-0.004139461520273446,7.225272566818264,0.6394980526388783,0.0,0.024051756059370998,24 days,11,11,0,0.0,54.54545454545454,29.770252304961385,-6.135556750276646,8.359197853966132,-3.115522842960356,2 days 20:00:00,1 days 00:00:00,0.9144868003664751,-0.0003763146836612231,-0.27315416041344837,-1.18511675953976,0.934089426347653,-0.38829079029527974
ADA-USD,2019-01-02,2019-12-30,363 days,100.0,100.0174293814295,0.017429381429494455,-25.772237574381553,0.09045095729087166,0.0,0.01607895122373798,201 days,93,93,0,0.0,31.182795698924732,20.793589348460976,-8.23493717982369,6.046192639844163,-2.6332515214498473,3 days 00:00:00,1 days 09:45:00,1.351953189396751,0.0001874127035429512,0.5811544888658396,1.0899603618075988,1.173654641240958,1.0264985297599163
ADA-USD,2020-01-02,2020-12-30,364 days,100.0,100.05634326593501,0.05634326593501787,461.93700072683504,0.18488670498300802,0.0,0.03207583563990897,137 days,86,86,0,0.0,40.69767441860465,37.88473285802779,-12.668157937295074,8.634578593744568,-3.3073250723987346,3 days 03:25:42.857142857,1 days 03:17:38.823529411,1.8277616021970826,0.0006551542550583473,1.2585480801763507,1.7613913314577732,1.4367326243339735,2.350310791084091
ADA-USD,2021-01-02,2021-12-30,363 days,100.0,101.00816417150926,1.0081641715092693,666.7635984444321,2.830655068100248,0.0,0.5971180337529788,129 days,73,72,1,0.0,47.22222222222222,130.22662212697134,-17.611960665609132,12.76888502639081,-3.9876135019612264,2 days 20:28:14.117647058,1 days 06:18:56.842105263,1.8079666848410016,0.014002280159850968,1.1567402128967068,1.6977327735055525,1.416530456293333,1.8139717913944693
ADA-USD,2022-01-02,2022-12-30,363 days,100.0,99.91101818953005,-0.08898181046995021,-82.17480758067754,1.2352102758054464,0.0,0.35406983488539495,281 days,90,89,1,0.0,35.95505617977528,19.754529112121734,-18.46897457300094,4.726266067414748,-3.4276913410905454,3 days 06:45:00,1 days 08:25:15.789473684,0.8769928128763268,-0.0009997956232578676,-0.25979772953144165,-0.2526954859658929,0.9304942794325796,-0.4043240546180808
ADA-USD,2023-01-02,2023-12-30,363 days,100.0,100.17520318860903,0.17520318860903694,137.15430241489614,0.5571778345249513,0.0,0.11301590534891623,295 days,84,84,0,0.0,39.285714285714285,35.4488893733711,-8.068320244019441,5.684832845395939,-2.1363011145069333,3 days 05:05:27.272727272,1 days 05:10:35.294117647,1.8098208384800516,0.002085752245345678,1.2782683544059454,1.5588013446372655,1.4909115492500862,2.5743501771075263
ADA-USD,2024-01-02,2024-12-30,364 days,100.0,100.37977723947945,0.3797772394794504,41.99502509790509,0.8367765294164463,0.0,0.14673085680036937,251 days,80,80,0,0.0,33.75,71.87084267842847,-10.087459465357709,10.895091541947385,-2.464400757179617,4 days 01:46:40,1 days 06:47:32.830188679,1.9458082240942733,0.004747215493493131,1.7087069060544673,2.595381612153325,1.6295180843816635,3.4682279733371675
ADA-USD,2025-01-02,2025-02-23,53 days,100.0,100.05396009908121,0.053960099081209634,-19.89962236865688,0.23845579886557686,0.0,0.011714901898536773,24 days,14,14,0,0.0,42.857142857142854,12.637525212920758,-8.035891798740293,6.502849538901913,-2.7553038232587426,2 days 12:00:00,1 days 03:00:00,5.9118614578166655,0.003854292791514974,3.664883432302657,31.771733275061226,2.7183170128437983,10.828569586540546
SOL-USD,2020-04-11,2020-12-30,264 days,100.0,100.83450283786988,0.8345028378698806,97.65956206082134,3.463221646222434,0.0,0.6401672711126309,121 days,59,59,0,0.0,47.45762711864407,62.17856353498124,-32.34783228439594,11.17079035143546,-5.8607072972171474,2 days 22:17:08.571428571,1 days 02:19:21.290322580,1.5756395909064198,0.014144115896099665,0.9937416730940459,1.8051563217633462,1.353941383869415,1.7788645376476582
SOL-USD,2021-01-02,2021-12-30,363 days,100.0,127.2621379143603,27.262137914360295,9501.155258919936,100.0,0.0,29.709536896248473,135 days,79,79,0,0.0,49.36708860759494,44.65927052972085,-37.20876760787524,12.719058866732617,-4.90069110655646,2 days 20:55:23.076923076,1 days 03:00:00,1.372986308183353,0.34509035334633265,0.8664112416151513,0.9233158797469503,1.2955098225455608,1.2186327168728412
SOL-USD,2022-01-02,2022-12-30,363 days,100.0,80.13587038286391,-19.864129617136093,-94.3984480717295,98.6633274136966,0.0,34.20009576527997,273 days,92,91,1,0.0,34.065934065934066,29.907069307606175,-24.79595021147451,5.645424055500584,-3.964809460391483,3 days 04:38:42.580645161,1 days 09:12:00,0.7525928945378939,-0.21828713864984706,-0.5281392473445092,-0.583677988178295,0.8826316815541914,-0.7348784358748542
SOL-USD,2023-01-02,2023-12-30,363 days,100.0,143.99913682535743,43.99913682535744,803.4452250709197,76.05868619535102,0.0,9.297593919706957,272 days,87,87,0,0.0,36.7816091954023,39.81738465870239,-8.365350093501176,9.843580805469596,-2.781418395137461,2 days 21:00:00,1 days 02:37:05.454545454,2.867618422596062,0.505737204889166,1.8197600987478848,4.763460863291337,1.9178826376502707,4.0795361565956645
SOL-USD,2024-01-02,2024-12-30,364 days,100.0,202.10351551813955,102.10351551813952,79.18193160230607,100.0,0.0,16.95475534260685,143 days,78,77,1,0.0,45.45454545454545,31.758981829387224,-8.445203593484766,6.336784459738383,-2.6446796533701664,3 days 08:13:42.857142857,1 days 06:51:25.714285714,1.8674679802367065,1.3260196820537602,2.0540262859614313,6.045180609174854,1.6062984802795535,3.6764259651648046
SOL-USD,2025-01-02,2025-02-23,53 days,100.0,103.84000385507795,3.840003855077953,-19.121862079059902,70.7136620371134,0.0,5.7363567082047,36 days,9,9,0,0.0,33.33333333333333,33.64706181068413,-4.190432314838667,12.150693838681741,-2.609414374493418,5 days 00:00:00,2 days 20:00:00,1.5619635684909348,0.4266670950086613,1.0431235046311282,5.165025778995748,1.2625605356829641,1.70050930323779
DOT-USD,2020-08-21,2020-12-30,132 days,100.0,100.38235531518863,0.3823553151886321,152.3210341776144,4.865013926354918,0.0,0.44993540400984955,124 days,25,25,0,0.0,52.0,22.285661952216763,-11.542026715996052,4.705104616837737,-3.1949487440139848,1 days 20:18:27.692307692,1 days 00:00:00,1.6263278442222817,0.015294212607545297,0.7020729060772554,2.357764440775603,1.374795310726421,1.22848378178258
DOT-USD,2021-01-02,2021-12-30,363 days,100.0,109.22266025097402,9.22266025097402,199.36234519604793,47.0335123028371,0.0,11.680209793664838,230 days,90,89,1,0.0,37.07865168539326,59.87590915652915,-37.93351738574498,11.271431462909481,-4.372238844596892,3 days 00:43:38.181818181,1 days 04:17:08.571428571,1.273672939184941,0.10362539607835969,0.6633528746858013,0.7941433560292914,1.1882115751045468,1.0939678702822309
DOT-USD,2022-01-02,2022-12-30,363 days,100.0,91.13499193836118,-8.865008061638818,-85.4581023979557,25.653325675469755,0.0,9.271195246362012,352 days,96,95,1,0.002746098452476531,33.68421052631579,21.095528526470105,-21.14984733307686,4.418210996716635,-3.905381448451241,2 days 22:30:00,1 days 11:25:42.857142857,0.44273043943379664,-0.09334478063253998,-1.704472490695937,-0.9612144914552413,0.6557196822958395,-2.092100241611608
DOT-USD,2023-01-02,2023-12-30,363 days,100.0,101.32481977014322,1.3248197701432147,86.45946319132437,8.031154760233303,0.0,2.314127107992586,334 days,91,90,1,0.0,36.666666666666664,23.476195957724126,-8.698407051871786,4.993570425204436,-2.1454608140731883,3 days 02:54:32.727272727,1 days 07:34:44.210526315,1.311306794781564,0.014720219668257935,0.6100549541652396,0.5756673665298759,1.1757400720328903,1.0759797426793132
DOT-USD,2024-01-02,2024-12-30,364 days,100.0,102.36307070332259,2.363070703322599,-20.39807167858959,10.288309946176387,0.0,2.371615758859228,262 days,76,76,0,0.0,48.68421052631579,38.84624144066356,-5.660942659373529,5.767438623385773,-2.5574446458414957,3 days 11:01:37.297297297,1 days 06:09:13.846153846,1.4937312801612572,0.03109303557003419,0.8835425470191152,0.9991664818517889,1.2707407117278327,1.5558433011523218
DOT-USD,2025-01-02,2025-02-23,53 days,100.0,100.07248496624564,0.07248496624563971,-30.823579978155426,0.9427435212377369,0.0,0.06773560476337186,37 days,11,11,0,0.0,45.45454545454545,11.808438772191296,-8.40079194097443,4.5680387744707,-3.355630962061726,3 days 19:12:00,1 days 20:00:00,3.042436373250091,0.006589542385967246,1.389304563009994,7.385409904473506,1.3536126992815019,2.1165977351378156
DOGE-USD,2019-01-02,2019-12-30,363 days,100.0,99.99964998340155,-0.00035001659843971345,-14.665554780205714,0.0038534862381042283,0.0,0.0010518845837065676,213 days,89,89,0,0.0,33.70786516853933,72.59615793618917,-8.635185484018534,5.598885232846685,-2.1043779486589393,3 days 05:36:00,1 days 05:22:45.517241379,0.8161573179536121,-4.301599116211291e-06,-0.4673701585041213,-0.33458524491575814,0.8670743114109289,-0.6614908788856655
DOGE-USD,2020-01-02,2020-12-30,364 days,100.0,100.001130311752,0.0011303117519913782,130.76157642923977,0.0044520040636005535,0.0,0.0004753429491661008,285 days,86,85,1,0.0,42.35294117647059,90.42877444053839,-7.573089468312889,6.709477495003951,-2.096810500944199,2 days 14:40:00,1 days 06:00:00,2.033385564934925,1.3029698358025365e-05,1.0346864844483954,2.3844195519244686,1.4637673598714285,1.9125715017649598
DOGE-USD,2021-01-02,2021-12-30,363 days,100.0,100.21411762937122,0.2141176293712229,1513.8766806030214,0.40056554010080725,0.0,0.09330147843984744,239 days,60,60,0,0.0,46.666666666666664,276.5837975890795,-22.18257654194947,25.895058752921713,-4.63075460785884,1 days 20:34:17.142857142,1 days 02:15:00,3.0656011721028413,0.003568627156187049,0.9840909457998334,2.3075583953351333,1.690663917462783,2.133367341964741
DOGE-USD,2022-01-02,2022-12-30,363 days,100.0,100.02333228537702,0.023332285377022435,-60.77819891631799,0.15110428052651764,0.0,0.05956962943315026,209 days,92,92,0,0.0,28.26086956521739,103.28552103649827,-22.028627835392555,9.206860797791041,-3.0166591718829094,3 days 14:46:09.230769230,1 days 07:16:21.818181818,1.2585410917213824,0.00025361179757633044,0.4054188949042538,0.3938391629331984,1.1373872416941444,0.6417093893983892
DOGE-USD,2023-01-02,2023-12-30,363 days,100.0,99.9872541143158,-0.012745885684198904,26.162282800894275,0.09667318794533343,0.0,0.024735067015690372,344 days,87,87,0,0.0,42.5287356321839,17.024223877186945,-8.983904395432614,3.5274582036924818,-2.286026825171511,3 days 01:56:45.405405405,1 days 06:14:24,0.7617737908484559,-0.00014650443315171148,-0.5905466854673089,-0.5181351011179024,0.86575619203675,-0.8054562428073655
DOGE-USD,2024-01-02,2024-12-30,364 days,100.0,100.20819162983763,0.20819162983763412,243.75025834898122,0.33758243927212617,0.0,0.05270463718862578,238 days,86,86,0,0.0,41.86046511627907,78.91575497817927,-8.25859308720678,10.051415289026853,-2.77440120016299,2 days 20:40:00,1 days 01:26:24,2.5418319527068465,0.002420832905088769,1.943053975411821,3.9610211284069408,1.84186519678782,4.151927906413107
DOGE-USD,2025-01-02,2025-02-23,53 days,100.0,99.99785608829656,-0.0021439117034363075,-28.229231888494322,0.1132616284290059,0.0,0.011409173156720423,50 days,13,13,0,0.0,46.15384615384615,12.980420645693233,-10.186694599965877,5.27184044230105,-5.178694667556618,3 days 00:00:00,1 days 06:51:25.714285714,0.8340908994049084,-0.00016491628487971593,-0.5366614913224771,-1.2940239455461076,0.8749487133678807,-0.7927786406680518
AVAX-USD,2020-07-14,2020-12-30,101 days,100.0,99.7639473929156,-0.23605260708440445,-41.39656593371133,1.5370273724622652,0.0,0.2584181606419696,99 days,29,28,1,0.0,25.0,7.467219511714192,-17.41182165085211,3.5342260029732437,-3.832601676712731,2 days 06:51:25.714285714,1 days 12:34:17.142857142,0.3698636168229275,-0.008430450253014444,-1.8469405197336926,-3.2909181324347636,0.6628016826571573,-2.481266428708957
AVAX-USD,2021-01-02,2021-12-30,363 days,100.0,140.38770991574034,40.387709915740345,2816.4527809531487,75.12996524125577,0.0,20.10510389710874,212 days,82,82,0,0.0,50.0,250.5006367686475,-36.49504367064662,18.108198043466825,-6.065766150549187,2 days 17:33:39.512195121,1 days 04:40:58.536585365,2.0428707384500164,0.49253304775293094,1.4334222576645996,2.0218921105669243,1.5159492866638167,2.4602712528958066
