crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
DOT-USD,2021-01-02,2021-12-30,363 days,100.0,107.71777859119418,7.717778591194182,199.36234519604793,47.695985573170184,2.6716031553804256,11.19742198865734,230 days,88,87,1,-0.007088081585859243,37.93103448275862,59.61603324737263,-38.09558386835923,11.060160031446571,-4.578916745115888,3 days 00:43:38.181818181,1 days 04:26:40,1.2353637080572188,0.08879157095149487,0.5746762226569601,0.6931872408948496,1.161746834776633,0.9584995853521235
DOT-USD,2022-01-02,2022-12-30,363 days,100.0,89.324654692873,-10.675345307127001,-85.4581023979557,26.151085484190173,1.2309910999104114,10.971843974274092,352 days,97,96,1,0.0019502737796400424,31.25,20.874432997943632,-21.328697485743785,4.50002881579346,-4.085791672461014,2 days 23:12:00,1 days 12:00:00,0.38850022399925765,-0.11122182896777755,-1.9868576007135161,-0.9780386796180276,0.6168983533451385,-2.4124179945290356
DOT-USD,2023-01-02,2023-12-30,363 days,100.0,100.69316425111057,0.6931642511105716,86.45946319132437,7.5832063012065785,0.5027719378162667,2.4961031001329985,338 days,91,90,1,-0.0018217234553141565,33.33333333333333,23.2527197617664,-8.889708644819914,5.2750835586001354,-2.229092320645491,3 days 07:12:00,1 days 08:00:00,1.1585879797182863,0.007722066384065411,0.34138891497275775,0.2792339052736829,1.09157002631444,0.5900849649901265
DOT-USD,2024-01-02,2024-12-30,364 days,100.0,101.06197978932067,1.0619797893206795,-20.39807167858959,10.00889521309223,0.5620258117264204,2.564871346872121,263 days,76,76,0,0.0,46.05263157894737,38.6073951992229,-5.855281716714155,5.912317105748584,-2.751531685435565,3 days 13:01:42.857142857,1 days 08:11:42.439024390,1.197283592235397,0.01397341828053529,0.4139494920813517,0.4151915055293052,1.1153019597969203,0.6944371102737825
DOT-USD,2025-01-02,2025-02-23,53 days,100.0,100.08100527282716,0.08100527282715753,-30.823579978155426,1.0918705552680794,0.009229238131070749,0.08763538913794681,37 days,11,11,0,0.0,45.45454545454545,11.596630333419105,-8.592391149033457,4.363470735696229,-3.533862132193608,3 days 19:12:00,2 days 00:00:00,2.97235085752861,0.007364115711559779,1.2866289403101359,6.380965362068511,1.3226013893071848,1.928469573161551
DOGE-USD,2019-01-02,2019-12-30,363 days,100.0,99.99952682633375,-0.0004731736662471168,-14.665554780205714,0.003848188174144203,0.00018547229380963897,0.0011415359754319019,213 days,89,89,0,0.0,30.337078651685395,72.32356177825298,-8.826550298534515,6.085266679078773,-2.1693356834948037,3 days 08:53:20,1 days 05:48:23.225806451,0.7592044401181715,-5.3165580477204346e-06,-0.631391948174954,-0.4167899110063116,0.8263874750412826,-0.8945895508933879
DOGE-USD,2020-01-02,2020-12-30,364 days,100.0,100.00094707576794,0.000947075767934306,130.76157642923977,0.004438859620474106,0.00015438981137489173,0.0004887949386093368,288 days,87,86,1,-2.192158508792147e-06,38.372093023255815,90.13834566609785,-7.765516378844577,7.176684269158513,-2.1872024009785918,2 days 18:10:54.545454545,1 days 06:20:22.641509433,1.7576833950475454,1.1037999144687163e-05,0.8552861264891699,1.9428958074855855,1.3563432123792079,1.563881698439858
DOGE-USD,2021-01-02,2021-12-30,363 days,100.0,100.19957124504414,0.19957124504413906,1513.8766806030214,0.41264524705452765,0.006601401447208898,0.10405658674326881,239 days,61,61,0,0.0,44.26229508196721,276.10721379149044,-22.360393965407514,26.62111665728663,-4.645373307327609,1 days 21:20:00,1 days 02:07:03.529411764,2.696584845520848,0.0032716597548219507,0.9006103713066664,1.9284883344540988,1.608520680998167,1.9218166011365538
DOGE-USD,2022-01-02,2022-12-30,363 days,100.0,100.01937607441855,0.019376074418548453,-60.77819891631799,0.15403410001558798,0.00735234703193891,0.06205474639797771,209 days,91,91,0,0.0,26.373626373626376,102.98223551546177,-22.206599207557165,9.760929099912847,-3.0997324624754206,3 days 17:00:00,1 days 08:14:19.701492537,1.2031468350500918,0.00021292389470932492,0.3275346018419637,0.3139621250459673,1.1081814637493002,0.5183636651698252
DOGE-USD,2023-01-02,2023-12-30,363 days,100.0,99.98119854113177,-0.018801458868223243,26.162282800894275,0.09668363482255837,0.006572214063767802,0.028598296845860217,344 days,89,89,0,0.0,39.325842696629216,16.80719965330976,-9.174920491037183,3.540044714276029,-2.3068429406533153,3 days 04:48:00,1 days 06:13:20,0.6789822001473315,-0.00021125234683396903,-0.8492800696405927,-0.6610546943687918,0.8181321734453867,-1.146799294401831
DOGE-USD,2024-01-02,2024-12-30,364 days,100.0,100.19428687297038,0.1942868729703787,243.75025834898122,0.3432501148869658,0.014367670837201202,0.059267313787850794,246 days,87,87,0,0.0,40.229885057471265,78.63683922320108,-8.450334494119572,10.163402033323605,-2.851761411005984,2 days 22:37:42.857142857,1 days 02:18:27.692307692,2.3108674892639187,0.0022331824479353895,1.7849313553809822,3.287160076293551,1.7291383665330504,3.7575584182524504
DOGE-USD,2025-01-02,2025-02-23,53 days,100.0,99.99597097375948,-0.004029026240510238,-28.229231888494322,0.11633225668554936,0.000893627380160737,0.013165530400816684,50 days,13,13,0,0.0,46.15384615384615,12.76744022504754,-10.376507905365912,5.066568601858749,-5.373515972889061,3 days 00:00:00,1 days 06:51:25.714285714,0.720360373497619,-0.000309925095423862,-0.9806512000498568,-2.107304175873441,0.7880048116206617,-1.3928278528288074
AVAX-USD,2020-07-14,2020-12-30,101 days,100.0,99.74686649829697,-0.2531335017030384,-41.39656593371133,1.4697877521944778,0.02639099735515948,0.27402303307698805,99 days,28,27,1,0.00014188929168734645,22.22222222222222,7.259752292202477,-17.59440982920126,3.813122233839978,-4.301799714529825,2 days 08:00:00,1 days 13:42:51.428571428,0.32694216617981986,-0.009380570036841685,-2.0969667478291547,-3.327337551654819,0.6314665410444005,-2.8036066359602536
AVAX-USD,2021-01-02,2021-12-30,363 days,100.0,135.65831385812982,35.6583138581298,2816.4527809531487,75.73956397476043,3.1989397835884645,20.40198614196712,212 days,83,83,0,0.0,46.98795180722892,250.05013613187884,-36.65854862697597,18.739313103324115,-5.86436535554848,2 days 17:13:50.769230769,1 days 04:54:32.727272727,1.911061187269423,0.42961823925457604,1.303720338969926,1.758968362912155,1.4589508259943176,2.2276986672635766
